generation,N_shifts,logPrior,logLik,eventRate,acceptRate
880000,23,104.736,-18685.6,8.48829,0.3432
885000,24,105.582,-18693.2,15.0936,0.3732
890000,20,93.0967,-18696,8.32642,0.3844
895000,22,103.02,-18698.6,10.7848,0.3538
900000,21,104.006,-18701.7,10.4885,0.3414
905000,22,106.572,-18707,10.3835,0.3388
910000,20,98.5673,-18703.3,9.45176,0.343
915000,17,71.0612,-18697.5,8.49001,0.322
920000,19,89.2499,-18709.7,11.0697,0.3256
925000,22,110.239,-18718.1,9.60419,0.3414
930000,23,113.445,-18711.8,11.0506,0.3612
935000,30,141.559,-18697.5,18.0703,0.3674
940000,26,121.779,-18676.3,10.9869,0.3728
945000,24,110.089,-18680.9,10.0497,0.3562
950000,21,97.1147,-18696.9,13.8663,0.3562
955000,24,125.516,-18671,11.7966,0.3582
960000,26,119.262,-18693.5,11.4562,0.366
965000,23,92.2941,-18684.4,8.69352,0.361
970000,18,74.5901,-18681.5,9.60755,0.3198
975000,27,128.513,-18693.5,13.6777,0.338
980000,28,124.139,-18672,18.5918,0.36
985000,24,114.789,-18687,12.7117,0.3486
990000,29,140.429,-18679,14.0207,0.364
995000,36,173.516,-18671.7,19.9051,0.3614
1000000,28,130.533,-18671.5,11.58,0.3552
1005000,28,118.638,-18660.7,12.0858,0.335
1010000,26,116.378,-18689.5,18.0261,0.3508
1015000,27,128.497,-18684.2,15.8901,0.3556
1020000,31,151.578,-18665.3,15.2235,0.3498
1025000,31,147.881,-18677.6,15.6134,0.3676
1030000,23,117.132,-18680.7,10.5452,0.3398
1035000,22,102.229,-18681.1,8.11539,0.34
1040000,21,89.5103,-18684.3,9.2697,0.3336
1045000,25,110.822,-18687.5,15.4165,0.3264
1050000,26,116.912,-18689,15.8191,0.362
1055000,25,114.46,-18673.4,9.34621,0.356
1060000,27,126.106,-18683.5,14.1341,0.3518
1065000,24,108.491,-18681.4,15.298,0.361
1070000,25,105.333,-18672.1,15.9641,0.3554
1075000,28,134.092,-18682.4,12.5719,0.3608
1080000,27,118.849,-18674.4,15.576,0.359
1085000,29,135.698,-18677.2,13.2061,0.3908
1090000,32,149.109,-18668.6,19.7029,0.3752
1095000,22,102.526,-18679.9,8.81426,0.3726
1100000,22,95.848,-18665.6,7.99056,0.3408
1105000,25,114.562,-18662.7,10.7798,0.3568
1110000,25,117.938,-18675.8,9.26441,0.3674
1115000,32,153.612,-18671.5,21.0616,0.3704
1120000,30,122.993,-18659.6,23.0378,0.3534
1125000,26,123.721,-18670.2,9.89672,0.3562
1130000,33,162.686,-18670.5,16.0026,0.3684
1135000,27,127.579,-18674.2,16.5077,0.3742
1140000,22,96.8389,-18677.1,15.3633,0.3422
1145000,22,96.2624,-18681,12.005,0.3262
1150000,22,105.152,-18678.1,8.52275,0.332
1155000,21,92.7728,-18680.6,10.4627,0.3456
1160000,21,82.5708,-18673.9,9.27349,0.327
1165000,23,101.075,-18677,10.2372,0.3136
1170000,22,113.904,-18718.6,11.3736,0.342149
1175000,26,138.11,-18702.4,12.2146,0.3744
1180000,30,140.144,-18695.4,18.0596,0.3982
1185000,27,142.735,-18704.1,13.9491,0.3786
1190000,25,126.013,-18712.8,19.0657,0.3828
1195000,23,121.153,-18729.4,10.0471,0.3766
1200000,20,108.285,-18715.9,10.8065,0.379
1205000,20,85.2711,-18705.5,11.7658,0.33415
1210000,19,95.794,-18700.6,7.98957,0.3476
1215000,18,84.4076,-18704.4,12.4595,0.371133
1220000,19,94.4376,-18706.3,10.6638,0.3322
1225000,25,125.94,-18715.5,7.625,0.3496
1230000,29,131.121,-18691.7,25.4988,0.3528
1235000,27,134.763,-18703.9,14.3764,0.3628
1240000,24,117.575,-18710.5,11.8952,0.3474
1245000,22,109.169,-18714.8,11.7181,0.365
1250000,22,108.573,-18708.6,9.96382,0.3396
1255000,21,108.391,-18710.7,13.1158,0.3616
1260000,18,88.2853,-18717.2,13.2654,0.36
1265000,18,93.2187,-18723.4,8.92805,0.3298
1270000,19,93.9176,-18733.1,11.8395,0.3756
1275000,20,101.079,-18718.6,8.67735,0.3592
1280000,19,90.16,-18723.9,11.5184,0.3584
1285000,22,112.445,-18715.9,9.99901,0.3766
1290000,18,75.0312,-18708.4,9.69405,0.341012
1295000,19,86.0698,-18705.5,11.2483,0.3492
1300000,20,90.8385,-18705.9,9.43027,0.3582
1305000,18,83.312,-18703.8,7.40683,0.327
1310000,21,99.6634,-18711.8,11.5944,0.3604
1315000,24,129.315,-18705.9,9.01722,0.3578
1320000,22,100.251,-18704.4,11.2169,0.3606
1325000,22,97.3043,-18719.2,14.7422,0.3482
1330000,18,83.1219,-18710.7,9.03675,0.3474
1335000,25,127.972,-18711.2,10.5064,0.3882
1340000,27,133.715,-18697.1,17.6074,0.3668
1345000,27,127.975,-18692.2,10.8531,0.3738
1350000,22,106.444,-18703,10.7336,0.3624
1355000,20,82.0189,-18699.9,9.93857,0.3274
1360000,22,105.514,-18698.7,11.0083,0.3342
1365000,19,86.1901,-18698.9,9.08067,0.3682
1370000,20,86.9013,-18708.1,11.9745,0.342224
1375000,25,127.035,-18701.4,13.6155,0.3463
1380000,30,153.331,-18706.2,12.9976,0.3662
1385000,31,155.824,-18710,20.7495,0.3742
1390000,23,110.025,-18699.9,10.0067,0.3384
1395000,22,113.54,-18713.4,11.7021,0.3524
1400000,26,132.004,-18704.3,12.3175,0.3756
1405000,23,106.196,-18713.9,9.76122,0.367
1410000,19,78.3612,-18694.3,9.29268,0.35148
1415000,23,111.184,-18690.4,10.1493,0.3272
1420000,28,138.195,-18692.8,11.4125,0.3818
1425000,23,109.662,-18693.1,13.3382,0.3496
1430000,22,98.7899,-18688,13.2747,0.3318
1435000,26,131.516,-18689,13.1573,0.3302
1440000,23,108.963,-18704.1,8.48471,0.3378
1445000,16,71.0006,-18713.9,9.96599,0.341
1450000,16,71.2353,-18703.6,7.12031,0.3266
1455000,20,100.289,-18717.5,6.05139,0.3146
1460000,22,95.04,-18708.5,13.4814,0.3382
1465000,22,99.7496,-18700.8,14.5497,0.337
1470000,24,113.197,-18711.6,17.2951,0.361
1475000,22,91.8805,-18691.2,11.5721,0.356
1480000,22,99.897,-18694.3,10.6704,0.3478
1485000,25,123.517,-18698.4,14.6817,0.3476
1490000,24,106.316,-18679.5,19.2394,0.3682
1495000,22,107.191,-18695.3,9.05357,0.35
1500000,19,79.8671,-18677,11.7687,0.341
1505000,25,121.374,-18676.5,9.2147,0.3482
1510000,26,122.645,-18676.4,10.8888,0.3534
1515000,26,109.532,-18679.9,17.4237,0.3612
1520000,26,124.576,-18693.5,16.4719,0.3746
1525000,23,92.9485,-18683.8,14.4182,0.3576
1530000,26,115.938,-18694.9,16.4357,0.3622
1535000,25,117.293,-18693.6,15.7178,0.3728
1540000,23,110.337,-18702.4,12.459,0.363
1545000,23,111.288,-18709.4,10.3133,0.369
1550000,24,117.707,-18716.6,13.592,0.3496
1555000,17,82.3707,-18712.1,4.97996,0.3312
1560000,20,87.2288,-18699.5,11.3695,0.33
1565000,24,112.44,-18693.5,13.5279,0.358
1570000,20,91.9063,-18685.3,8.27728,0.3284
1575000,28,137.266,-18686,15.6721,0.364
1580000,24,101.608,-18695.8,16.1234,0.3526
1585000,21,83.2931,-18687.3,10.1268,0.3438
1590000,25,108.986,-18689.6,9.43541,0.337
1595000,24,112.783,-18698.3,16.6152,0.3728
1600000,21,107.059,-18703,6.58448,0.330267
1605000,22,102.546,-18707.4,12.7454,0.3646
1610000,23,114.025,-18686.1,14.4678,0.340133
1615000,25,117.684,-18696.4,16.8764,0.3606
1620000,25,127.906,-18699.3,7.77598,0.35
1625000,25,122.217,-18696.2,10.6134,0.3622
1630000,25,116.969,-18688.8,16.5479,0.3702
1635000,25,124.9,-18695.9,12.6219,0.3446
1640000,21,101.594,-18693.4,11.1296,0.3608
1645000,25,124.335,-18677.1,11.844,0.3658
1650000,23,102.239,-18684.5,10.7674,0.3604
1655000,30,148.812,-18681.1,17.505,0.3722
1660000,26,121.541,-18674.3,12.8428,0.3626
1665000,33,173.193,-18683.8,11.3603,0.3676
1670000,29,151.98,-18674.1,14.5305,0.3704
1675000,28,128.885,-18671.8,13.5859,0.3698
1680000,29,133.514,-18672.8,13.6193,0.359
1685000,28,129.342,-18675,15.6483,0.3716
1690000,27,126.464,-18683.1,16.5824,0.3584
1695000,31,129.481,-18683,18.8216,0.3612
1700000,29,141.452,-18676.6,12.4487,0.3858
1705000,29,137.769,-18687.7,13.0266,0.374
1710000,24,101.646,-18687.6,14.4686,0.355
1715000,31,152.419,-18673.9,19.3088,0.3668
1720000,38,185.796,-18684.8,19.1869,0.3838
1725000,29,144.623,-18684.5,14.1174,0.4164
1730000,23,114.596,-18683.4,7.14548,0.3788
1735000,22,97.2606,-18696,12.9103,0.3524
1740000,24,99.6351,-18685,16.7307,0.3382
1745000,24,108.697,-18675.4,8.4713,0.36
1750000,24,108.174,-18680,13.2062,0.3466
1755000,25,116.838,-18686.2,10.2439,0.3694
1760000,26,127.801,-18676,12.8757,0.3644
1765000,22,100.115,-18707.4,12.4713,0.35
1770000,25,117.56,-18695.3,12.8884,0.3304
1775000,21,85.6492,-18694.4,7.95039,0.3288
1780000,21,99.1981,-18700.9,7.52413,0.355
1785000,21,98.4019,-18685.6,11.5383,0.3514
1790000,23,103.855,-18676.8,16.7314,0.3328
1795000,20,89.1614,-18687.4,7.20935,0.3196
1800000,24,108.198,-18666.8,12.0157,0.3314
1805000,25,121.33,-18684.2,10.2855,0.3468
1810000,21,98.4371,-18694.5,10.8205,0.34
1815000,26,128.47,-18674.6,11.6895,0.3434
1820000,29,138.506,-18682.8,18.4129,0.3462
1825000,22,104.314,-18682.7,10.8658,0.3644
1830000,23,116.094,-18685.2,7.9843,0.3422
1835000,24,119.331,-18679.9,9.47235,0.3626
1840000,25,106.947,-18684,11.8322,0.3432
1845000,23,101.757,-18681.3,12.0518,0.3492
1850000,27,128.803,-18681.1,13.1344,0.3522
1855000,26,106.442,-18671.6,17.2416,0.3426
1860000,27,124.662,-18682.7,11.4812,0.365
1865000,26,117.662,-18691.1,21.6179,0.3764
1870000,21,99.9322,-18689.2,10.1878,0.3436
1875000,24,102.158,-18686.2,13.1246,0.3448
1880000,21,90.3418,-18685.5,14.7277,0.3384
1885000,26,126.96,-18701.3,13.8978,0.3536
1890000,25,111.436,-18687,13.4825,0.3548
1895000,19,85.0816,-18694.6,11.9029,0.3206
1900000,23,103.313,-18690.8,10.2846,0.3202
1905000,28,121.81,-18668.5,12.8581,0.3412
1910000,28,131.303,-18666,11.8137,0.3578
1915000,26,122.398,-18694.8,11.9563,0.3496
1920000,28,126.226,-18675,15.1426,0.3552
1925000,29,142.631,-18675.7,13.2433,0.3708
1930000,28,132.658,-18687.6,13.5835,0.3774
1935000,29,134.371,-18685.4,13.1623,0.3598
1940000,26,121.223,-18694,13.7228,0.3542
1945000,23,112.618,-18682,11.0409,0.3416
1950000,21,90.6955,-18691.5,10.2761,0.3692
1955000,23,104.965,-18684.4,12.6236,0.3336
1960000,19,93.5482,-18706,8.57521,0.341192
1965000,17,80.2917,-18717.9,14.2889,0.348
1970000,21,110.197,-18714.7,8.63708,0.3454
1975000,24,117.388,-18710.8,12.7855,0.3712
1980000,25,130.531,-18711.3,12.4961,0.3746
1985000,23,117.172,-18719.4,9.00991,0.3694
1990000,21,96.3772,-18717.8,14.1345,0.3408
1995000,23,115.249,-18709.9,12.891,0.3608
2000000,22,105.259,-18707.5,16.1166,0.3646
2005000,17,74.0049,-18708.6,11.0842,0.3308
2010000,19,85.3531,-18704.2,10.9232,0.32
2015000,18,81.2902,-18700.9,6.96875,0.333
2020000,17,64.0882,-18695.3,11.3148,0.3406
2025000,23,101.117,-18696.5,11.4303,0.3504
2030000,23,99.4536,-18687.1,13.3494,0.3624
2035000,25,115.877,-18682.3,12.7404,0.3642
2040000,20,83.0796,-18691.3,8.01071,0.353
2045000,23,93.4575,-18675.6,10.7416,0.3598
2050000,23,103.34,-18689.2,12.6971,0.339
2055000,21,93.4511,-18685.3,8.66002,0.3516
2060000,20,86.2074,-18684.1,7.26261,0.3384
2065000,22,100.151,-18683.1,6.78925,0.3498
2070000,22,83.8558,-18685.7,12.2006,0.3394
2075000,24,100.287,-18694.5,11.5462,0.3222
2080000,24,108.464,-18684.9,9.84436,0.377
2085000,22,96.7286,-18686.8,11.953,0.3358
2090000,25,105.24,-18694.6,11.5941,0.3544
